row_number,matched_terms,isin,symbol,name,country,exchange,mic,currency,source_provider,severity
4431,fund,,,Nuveen Global High Income Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4437,fund,,,Nuveen Mortgage and Income Fund,USA,NYSE,,,nasdaq_trader_otherlisted,review
4438,fund,,,Nuveen Multi-Market Income Fund (MA),USA,NYSE,,,nasdaq_trader_otherlisted,review
4443,fund,,,Japan Smaller Capitalization Fund Inc Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
4445,fund,,,Nuveen Credit Strategies Income Fund Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4446,fund,,,Nuveen Real Asset Income and Growth Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4447,fund,,,Nuveen Real Estate Income Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4461,fund,,,"Korea Fund, Inc. (The) New Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4467,fund,,,KKR Income Opportunities Fund Common Shares,USA,NYSE,,,nasdaq_trader_otherlisted,review
4472,debenture;debentures,,,Kemper Corporation 5.875% Fixed-Rate Reset Junior Subordinated Debentures due 2062,USA,NYSE,,,nasdaq_trader_otherlisted,review
4505,fund,,,"Kayne Anderson Energy Infrastructure Fund, Inc.",USA,NYSE,,,nasdaq_trader_otherlisted,review
4531,fund,,,Lazard Global Total Return and Income Fund Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
4596,fund,,,XAI Madison Equity Premium Income Fund Common Shares,USA,NYSE,,,nasdaq_trader_otherlisted,review
4608,fund,,,NYLI CBRE Global Infrastructure Megatrends Term Fund Common Shares,USA,NYSE,,,nasdaq_trader_otherlisted,review
4610,note;notes,,,"Bank of America Corporation Income Capital Obligation Notes initially due December 15, 2066",USA,NYSE,,,nasdaq_trader_otherlisted,review
4615,fund,,,Aberdeen Municipal Income Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4623,fund,,,"Blackrock MuniHoldings Fund, Inc. Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4624,fund,,,"Western Asset Municipal High Income Fund, Inc. Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4636,fund,,,"Blackrock MuniYield Michigan Quality Fund, Inc. Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4647,fund,,,NYLI MacKay DefinedTerm Muni Opportunities Fund Common Shares,USA,NYSE,,,nasdaq_trader_otherlisted,review
4651,fund,,,Aberdeen Multi-Market Income Fund Common Shares of Beneficial Interest,USA,NYSE,,,nasdaq_trader_otherlisted,review
4652,fund,,,"Western Asset Managed Municipals Fund, Inc. Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4662,fund,,,Blackrock MuniYield Pennsylvania Quality Fund Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
4668,fund,,,"Blackrock MuniYield Quality Fund, Inc. Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4678,fund,,,"Morgan Stanley Emerging Markets Debt Fund, Inc. Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4679,fund,,,Morgan Stanley Direct Lending Fund Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
4683,fund,,,"MSC Income Fund, Inc. Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4703,fund,,,"Blackrock MuniAssets Fund, Inc Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4704,fund,,,"Blackrock MuniHoldings California Quality Fund, Inc. Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4706,fund,,,"Blackrock MuniHoldings New Jersey Quality Fund, Inc. Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4714,fund,,,"Mexico Equity and Income Fund, Inc. (The) Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4715,fund,,,"Mexico Fund, Inc. (The) Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4717,fund,,,"Blackrock MuniYield Quality Fund III, Inc Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4718,fund,,,"Blackrock MuniYield New York Quality Fund, Inc.Common Stock",USA,NYSE,,,nasdaq_trader_otherlisted,review
4722,fund,,,Nuveen California Quality Municipal Income Fund,USA,NYSE,,,nasdaq_trader_otherlisted,review
4723,fund,,,Nuveen Quality Municipal Income Fund Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
4725,fund,,,Nuveen New York Quality Municipal Income Fund Common Stock,USA,NYSE,,,nasdaq_trader_otherlisted,review
