row_number,classification,matched_terms,reason,isin,ticker,name,exchange,country,mic,currency,source_provider,asset_type,instrument_type,instrument_scope
11077,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSMIBm,iShares FTSE MIB UCITS ETF EUR Acc,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11078,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSMIBx,iShares FTSE MIB UCITS ETF EUR (Acc),CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11079,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSNDXm,iShares NASDAQ 100 UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11080,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSNDXz,iShares NASDAQ 100 UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11081,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSNKYm,iShares Nikkei 225 UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11082,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSNKYz,iShares Nikkei 225 UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11084,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSP1l,iShares Core S&P 500 UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11085,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSPXJm,iShares Core MSCI Pacific ex-Japan UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11086,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSPXJz,iShares Core MSCI Pacific ex-Japan UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11087,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSPXa,iShares Core S&P 500 UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11088,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSPXl,iShares Core S&P 500 UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11089,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSPXx,iShares Core S&P 500 UCITS ETF MXN Hedged (Acc),CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11091,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSSLIz,iShares SLI ETF CH,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11092,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSSMIz,iShares SMI ETF CH,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11093,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSSMZz,iShares SMIM ETF CH,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11094,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSSPXm,iShares Core S&P 500 UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11095,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSSPXz,iShares Core S&P 500 UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11096,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSSX5m,iShares Core EURO STOXX 50 UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11097,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSSX5z,iShares Core EURO STOXX 50 UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11098,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSTAd,Amundi Stoxx Europe 600 Technology UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11099,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSUKSz,iShares MSCI UK Small Cap UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11100,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSUKXz,iShares Core FTSE 100 UCITS ETF GBP Acc,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
11101,residual_review_required,etf,Potential non-common-equity or fund-like instrument needs review/exclusion policy before scoring.,,CSUKl,iShares MSCI UK UCITS ETF,CBOE_EUROPE,,,,cboe_europe_reference_data,,ETF,
