promotion_id,candidate_id,source_id,raw_symbol,raw_name,raw_exchange,raw_series,raw_isin,confidence_bucket,review_required,net_new_bucket,promoted_to_candidate_dataset,expanded_candidate_row_index,promotion_policy,promotion_notes
8bd990cde592bd60,cbca6434e5b479df,nse_securities_available_equity_segment,CASTROLIND,Castrol India Limited,NSE,EQ,INE172A01027,high,False,potential_net_new_high,True,38634,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
0c1c9c29dce7a733,126f8478b9bcf03f,nse_securities_available_equity_segment,CCAVENUE,AvenuesAI Limited,NSE,EQ,INE483S01020,high,False,potential_net_new_high,True,38635,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
993de10e93d4df30,911bcc36ee1727ae,nse_securities_available_equity_segment,CCCL,Consolidated Construction Consortium Limited,NSE,EQ,INE429I01024,high,False,potential_net_new_high,True,38636,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
0e50f5f1610add02,c99ffd3520fde247,nse_securities_available_equity_segment,CCHHL,Country Club Hospitality & Holidays Limited,NSE,EQ,INE652F01027,high,False,potential_net_new_high,True,38637,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
c6e550ea56a2a6de,bf26fbf33ccf2006,nse_securities_available_equity_segment,CCL,CCL Products (India) Limited,NSE,EQ,INE421D01022,high,False,potential_net_new_high,True,38638,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
512f6ccefdd07366,9cb3605379e8f4ea,nse_securities_available_equity_segment,CDSL,Central Depository Services (India) Limited,NSE,EQ,INE736A01011,high,False,potential_net_new_high,True,38639,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
db723dfa8f2db7b8,ffbbb8782ee700e0,nse_securities_available_equity_segment,CEATLTD,CEAT Limited,NSE,EQ,INE482A01020,high,False,potential_net_new_high,True,38640,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
ef0ab48634f3f22d,d9aa27576fe2120b,nse_securities_available_equity_segment,CEIGALL,Ceigall India Limited,NSE,EQ,INE0AG901020,high,False,potential_net_new_high,True,38641,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
4bb9e937944342e5,593977921bf1cbe9,nse_securities_available_equity_segment,CEINSYS,Ceinsys Tech Limited,NSE,EQ,INE016Q01014,high,False,potential_net_new_high,True,38642,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
bf8ee94dae7bc423,2592f9b5b48bb9f3,nse_securities_available_equity_segment,CELEBRITY,Celebrity Fashions Limited,NSE,EQ,INE185H01016,high,False,potential_net_new_high,True,38643,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
731109e0375603eb,0a0077926aa1f72f,nse_securities_available_equity_segment,CELLO,Cello World Limited,NSE,EQ,INE0LMW01024,high,False,potential_net_new_high,True,38644,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
c7ea268410820fa2,50febfade4453a2b,nse_securities_available_equity_segment,CEMPRO,Cemindia Projects Limited,NSE,EQ,INE686A01026,high,False,potential_net_new_high,True,38645,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
a45379f69126f2f5,7730b73bc6a1f1b4,nse_securities_available_equity_segment,CENTENKA,Century Enka Limited,NSE,EQ,INE485A01015,high,False,potential_net_new_high,True,38646,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
3d154eecd98009a6,dec2a53aabc77bd0,nse_securities_available_equity_segment,CENTEXT,Century Extrusions Limited,NSE,EQ,INE281A01026,high,False,potential_net_new_high,True,38647,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
6d4987dc6c95a50f,71fec4f9467712f1,nse_securities_available_equity_segment,CENTRUM,Centrum Capital Limited,NSE,EQ,INE660C01027,high,False,potential_net_new_high,True,38648,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
7583ad22f08165d5,dd26f153b34f2523,nse_securities_available_equity_segment,CENTUM,Centum Electronics Limited,NSE,EQ,INE320B01020,high,False,potential_net_new_high,True,38649,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
6bb04027f134b541,a778cd9b934206d3,nse_securities_available_equity_segment,CENTURYPLY,Century Plyboards (India) Limited,NSE,EQ,INE348B01021,high,False,potential_net_new_high,True,38650,include_safe_high_confidence_equity_segment_eq_only_in_candidate_dataset,candidate dataset only; canonical remains unchanged
